simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
虚构,虛構,xū gòu,bịa đặt/bịa đặt/hư cấu/tưởng tượng,V,7,,,
许,許,xǔ,cho phép/cho phép/hứa hẹn/khen ngợi/phần nào/có lẽ,V/Adv,7,,,
酗酒,酗酒,xù jiǔ,uống rượu nhiều/say xỉn/uống quá mức,V,7,他酗酒成性。,Tā xùjiǔ chéng xìng.,Anh ấy nghiện rượu.
许可证,許可證,xǔ kě zhèng,giấy phép/ủy quyền/giấy phép,N,7,,,
需,需,xū,yêu cầu/cần/muốn/cần thiết/cần,V,7,,,
虚弱,虛弱,xū ruò,yếu/sức khỏe kém,Adj,7,,,
虚伪,虛偽,xū wěi,giả dối/đạo đức giả/nhân tạo/giả tạo,Adj,7,我讨厌虚伪的人。,Wǒ tǎoyàn xūwěi de rén.,Tôi ghét những người giả dối.
宣称,宣稱,xuān chēng,khẳng định/tuyên bố,V,7,,,
宣读,宣讀,xuān dú,đọc to cho khán giả/bài phát biểu đã chuẩn bị (ví dụ: tại hội nghị đảng),V,7,,,
选民,選民,xuǎn mín,cử tri/khu vực bầu cử/cử tri đoàn,N,7,,,
宣誓,宣誓,xuān shì,tuyên thệ (nhậm chức)/lời thề,,7,他在法庭上宣誓。,Tā zài fǎtíng shàng xuānshì.,Anh ấy tuyên thệ tại tòa án.
旋律,旋律,xuán lǜ,giai điệu,N,7,这首歌的旋律很优美。,Zhè shǒu gē de xuánlǜ hěn yōuměi.,Giai điệu của bài hát này rất đẹp.
宣言,宣言,xuān yán,tuyên bố/tuyên ngôn,N,7,,,
炫耀,炫耀,xuàn yào,chói lọi/khoe khoang/phô trương,V,7,,,
血压,血壓,xuè yā,huyết áp,N,7,他的血压很高。,Tā de xuèyā hěn gāo.,Huyết áp của anh ấy rất cao.
靴子,靴子,xuē zi,bốt,N,7,,,
训,訓,xùn,dạy; huấn luyện; khuyên răn/(hình thức ràng buộc) chỉ dẫn (từ cấp trên); lời dạy; quy tắc,V,7,,,
寻,尋,xún,tìm kiếm/tìm kiếm/tìm kiếm,V,7,,,
寻常,尋常,xún cháng,thường lệ; phổ biến; bình thường,Adj,7,,,
熏,"薰,熏,燻",xūn,hương thơm/ấm áp/giáo dục/biến thể của 熏[xun1]/hút thuốc/xông hơi,V,7,,,
巡逻,巡邏,xún luó,"tuần tra (cảnh sát, quân đội hoặc hải quân)",V,7,警察正在巡逻。,Jǐngchá zhèngzài xúnluó.,Cảnh sát đang tuần tra.
勋章,勛章,xūn zhāng,huy chương/trang trí,N,7,,,
丫头,丫頭,yā tou,"cô gái/người hầu gái/(được dùng với ý khinh miệt, nhưng đôi khi cũng được dùng như một từ ngữ trìu mến)",N,7,,,
押,押,yā,thế chấp/cầm cố/giam giữ/hộ tống và bảo vệ/(văn học) ký,V,7,,,
牙齿,牙齒,yá chǐ,răng/nha khoa/CL:顆|颗[ke1],N,7,我需要检查你的牙齿。,Wǒ xūyào jiǎnchá nǐ de yáchǐ.,Tôi cần kiểm tra răng của bạn.
压抑,壓抑,yā yì,kiềm chế hoặc kìm nén cảm xúc/áp bức/ngăn cản/chán nản/đàn áp,V,7,他感到非常压抑。,Tā gǎndào fēicháng yāyì.,Anh ấy cảm thấy rất bị đè nén.
延,延,yán,kéo dài/mở rộng/trì hoãn,V,7,,,
验,"驗,騐",yàn,kiểm tra/kiểm tra/kiểm tra,V,7,,,
厌烦,厭煩,yàn fán,chán; chán ngấy cái gì đó; phát ngán cái gì đó,V,7,,,
厌倦,厭倦,yàn juàn,mệt mỏi vì; chán ngấy vì; chán ngấy vì,V,7,,,
言论,言論,yán lùn,sự bày tỏ ý kiến/quan điểm/nhận xét/lập luận,N,7,我们要尊重言论自由。,Wǒmen yào zūnzhòng yánlùn zìyóu.,Chúng ta phải tôn trọng tự do ngôn luận.
严密,嚴密,yán mì,"nghiêm ngặt/chặt chẽ (tổ chức, giám sát, v.v.)",Adj/V,7,我们需要对这个问题进行严密分析。,Wǒmen xūyào duì zhège wèntí jìnxíng yánmì fēnxī.,Chúng ta cần phân tích kỹ lưỡng vấn đề này.
岩石,岩石,yán shí,đá,N,7,岩石非常坚硬。,Yánshí fēicháng jiānyìng.,Đá rất cứng.
演说,演說,yǎn shuō,bài phát biểu/đưa ra bài phát biểu,V/N,7,,,
眼神,眼神,yǎn shén,biểu cảm hoặc cảm xúc thể hiện trong mắt/cái nhìn đầy ẩn ý/cái nháy mắt/tầm nhìn (phương ngữ),N,7,他的眼神透露出悲伤。,Tā de yǎnshén tòulù chū bēishāng.,Ánh mắt của anh ấy bộc lộ nỗi buồn.
眼下,眼下,yǎn xià,bây giờ/hiện tại/dưới mắt (thuốc),N,7,眼下我们需要一个计划。,Yǎnxià wǒmen xūyào yī gè jìhuà.,Hiện tại chúng ta cần một kế hoạch.
演戏,演戲,yǎn xì,diễn kịch/biểu diễn/giả vờ/giả vờ,,7,,,
演播室,演播室,yǎn bō shì,phòng phát thanh,N,7,,,
掩盖,掩蓋,yǎn gài,che giấu/ẩn nấp đằng sau/che đậy,V,7,他试图掩盖自己的错误。,Tā shìtú yǎngài zìjǐ de cuòwù.,Anh ta cố gắng che đậy lỗi lầm của mình.
掩护,掩護,yǎn hù,che chắn/che chắn/che phủ/bảo vệ/che phủ/CL:面[mian4],V,7,士兵们互相掩护。,Shìbīngmen hùxiāng yǎnhù.,Các binh sĩ bảo vệ lẫn nhau.
演技,演技,yǎn jì,kỹ năng diễn xuất/biểu diễn,N,7,,,
掩饰,掩飾,yǎn shì,che đậy/che giấu/che giấu/che đậy,V,7,她努力掩饰自己的情绪。,Tā nǔlì yǎnshì zìjǐ de qíngxù.,Cô ấy cố gắng che giấu cảm xúc của mình.
演示,演示,yǎn shì,trình bày/trình diễn/trình diễn/biểu diễn,V,7,,,
演习,演習,yǎn xí,"(quân đội, chữa cháy, v.v.) (động từ và danh từ) tập trận; diễn tập; điều động",V,7,他们正在进行军事演习。,Tāmen zhèngzài jìnxíng jūnshì yǎnxí.,Họ đang tiến hành diễn tập quân sự.
演绎,演繹,yǎn yì,"(của một câu chuyện, v.v.) mở ra/diễn ra/phát triển (một kỹ thuật, v.v.)/thực hiện/(logic) suy luận/suy ra",N/V,7,他把小说演绎得非常精彩。,Tā bǎ xiǎoshuō yǎnyì dé fēicháng jīngcǎi.,Anh ta diễn giải tiểu thuyết một cách rất hay.
验证,驗證,yàn zhèng,kiểm tra và xác minh/xác minh thực nghiệm/xác nhận (một lý thuyết)/xác thực,V,7,这个方法需要进一步验证。,Zhège fāngfǎ xūyào jìnyībù yànzhèng.,Phương pháp này cần được kiểm chứng thêm.
扬,"揚,敭",yáng,biến thể của 揚|扬[yang2],V,7,,,
氧,氧,yǎng,oxy (hóa học),N,7,,,
养活,養活,yǎng huó,"cung cấp/nuôi dưỡng (động vật, gia đình, v.v.)/nuôi động vật/cho ăn và mặc/hỗ trợ/những nhu cầu thiết yếu của cuộc sống/sinh con",V,7,,,
阳性,陽性,yáng xìng,tích cực/nam tính,N,7,,,
痒,"癢,痒",yǎng,ngứa/nhột,Adj,7,我的皮肤有点发痒。,wǒ de pífū yǒudiǎn fā yǎng.,Da của tôi hơi ngứa.
样本,樣本,yàng běn,mẫu; mẫu vật,N,7,,,
样品,樣品,yàng pǐn,mẫu; mẫu vật,N,7,实验室里有很多样品。,Shíyànshì lǐ yǒu hěnduō yàngpǐn.,Trong phòng thí nghiệm có nhiều mẫu vật.
邀,邀,yāo,mời/yêu cầu/chặn/yêu cầu/tìm kiếm,V,7,,,
摇摆,搖擺,yáo bǎi,lắc lư/lắc lư/dao động,V,7,树枝在风中摇摆。,Shùzhī zài fēng zhōng yáobǎi.,Cành cây đung đưa trong gió.
要不,要不,yào bù,nếu không/hoặc nếu không/thì sao về...?/hoặc là... (hoặc...),Conj,7,要不我们去看电影？,Yào bù wǒmen qù kàn diànyǐng?,Hay là chúng ta đi xem phim?
摇滚,搖滾,yáo gǔn,nhạc rock 'n' roll (nhạc)/nhảy/rơi xuống,N,7,我喜欢听摇滚音乐。,Wǒ xǐhuān tīng yáogǔn yīnyuè.,Tôi thích nghe nhạc rock.
要害,要害,yào hài,phần quan trọng/(hình) điểm then chốt/quan trọng,N,7,,,
要紧,要緊,yào jǐn,quan trọng/khẩn cấp,Adj,7,,,
遥控,遙控,yáo kòng,chỉ đạo hoạt động từ xa/điều khiển từ xa,V,7,他们用遥控器操作电视。,Tāmen yòng yáokòngqì cāozuò diànshì.,Họ dùng điều khiển từ xa để điều khiển TV.
要命,要命,yào mìng,gây ra cái chết của ai đó/cực kỳ; khủng khiếp/(được dùng khi phàn nàn về điều gì đó) gây phiền toái,,7,这种情况要命。,Zhè zhǒng qíngkuàng yàomìng.,Tình huống này thật chết người.
钥匙,鑰匙,yào shi,key/CL:把[ba3],N,7,我找不到我的钥匙了。,Wǒ zhǎo bù dào wǒ de yàoshi le.,Tôi không tìm thấy chìa khóa của mình.
耀眼,耀眼,yào yǎn,làm lóa mắt/làm lóa mắt,Adj,7,太阳光芒耀眼。,Tàiyáng guāngmáng yàoyǎn.,Ánh mặt trời chói mắt.
谣言,謠言,yáo yán,tin đồn,N,7,不要相信那些谣言。,Bùyào xiāngxìn nàxiē yáoyán.,Đừng tin vào những tin đồn đó.
遥远,遙遠,yáo yuǎn,xa xôi; hẻo lánh,Adj,7,她住在一个遥远的村庄。,Tā zhù zài yīgè yáoyuǎn de cūnzhuāng.,Cô ấy sống ở một ngôi làng xa xôi.
业,業,yè,ngành nghề kinh doanh/ngành nghề/nghề nghiệp/việc làm/việc làm/học tập/doanh nghiệp/tài sản/(Phật giáo) nghiệp/hành động/tham gia vào/đã,,7,,,
夜班,夜班,yè bān,ca đêm,N,7,,,
液体,液體,yè tǐ,chất lỏng,N,7,,,
野餐,野餐,yě cān,dã ngoại/dã ngoại,V,7,,,
野蛮,野蠻,yě mán,man rợ/thiếu văn minh,Adj,7,他的行为非常野蛮。,Tā de xíngwéi fēicháng yěmán.,Hành vi của anh ta rất man rợ.
野兽,野獸,yě shòu,thú dữ/động vật hoang dã,N,7,,,
野外,野外,yě wài,vùng nông thôn/khu vực bên ngoài thành phố,N,7,,,
野心,野心,yě xīn,tham vọng/âm mưu hoang dã/chủ nghĩa sự nghiệp,N,7,他有很大的野心。,Tā yǒu hěn dà de yěxīn.,Anh ta có tham vọng lớn.
野营,野營,yě yíng,đến nơi ở cắm trại/dã chiến,V,7,,,
夜晚,夜晚,yè wǎn,đêm/CL:個|个[ge4],N,7,,,
也就是说,也就是說,yě jiù shì shuō,nói cách khác/tức là/vậy/như vậy,,7,,,
夜总会,夜總會,yè zǒng huì,hộp đêm; hộp đêm,N,7,,,
移植,移植,yí zhí,để cấy ghép,V,7,,,
一大早,一大早,yī dà zǎo,lúc bình minh/lúc trời vừa hửng sáng/vào buổi sáng sớm,N,7,,,
议会,議會,yì huì,quốc hội/hội đồng lập pháp,N,7,,,
疑惑,疑惑,yí huò,nghi ngờ/không tin tưởng/không thuyết phục/bối rối/hoài nghi/nghi ngờ,V,7,她的回答让我感到疑惑。,Tā de huídá ràng wǒ gǎndào yíhuò.,Câu trả lời của cô ấy khiến tôi bối rối.
一面,一面,yí miàn,một bên/một khía cạnh/đồng thời... (và...)/toàn bộ khuôn mặt,N/Adv,7,,,
一如既往,一如既往,yì rú jì wǎng,(thành ngữ) cũng như trong quá khứ; như trước đây; tiếp tục như mọi khi,,7,他一如既往地支持我们。,Tā yīrújìwǎng de zhīchí wǒmen.,Anh ấy luôn ủng hộ chúng tôi như trước.
以,"以,㕥,㠯",yǐ,sử dụng/bằng phương tiện của/theo/để/vì/vào (một ngày hoặc địa điểm nhất định),Prep/Conj,7,以他的能力，他能做到。,"Yǐ tā de nénglì, tā néng zuò dào.","Với khả năng của anh ấy, anh ấy có thể làm được."
以免,以免,yǐ miǎn,để tránh/để không,Conj,7,请小心驾驶，以免发生事故。,"Qǐng xiǎoxīn jiàshǐ, yǐmiǎn fāshēng shìgù.",Vui lòng lái xe cẩn thận để tránh tai nạn.
以至于,以至於,yǐ zhì yú,xuống/lên/đến mức mà...,Conj,7,,,
一塌糊涂,一塌糊塗,yī tā hú tú,hỗn loạn và sụp đổ hoàn toàn (thành ngữ); trong tình trạng tồi tệ/hoàn toàn hỗn loạn/một mớ hỗn độn hoàn toàn,,7,,,
遗体,遺體,yí tǐ,hài cốt (của một người đã chết),N,7,,,
遗弃,遺棄,yí qì,rời khỏi/bỏ rơi,V,7,,,
遗忘,遺忘,yí wàng,quên; ngừng nghĩ về (cái gì đó hoặc cái gì đó) nữa,V,7,,,
遗嘱,遺囑,yí zhǔ,di chúc/di chúc,N,7,,,
一无所有,一無所有,yī wú suǒ yǒu,không có gì cả (thành ngữ); hoàn toàn thiếu/không có hai que để cọ vào nhau,,7,,,
一无所知,一無所知,yī wú suǒ zhī,không biết gì cả (thành ngữ); hoàn toàn không biết gì/không có chút manh mối nào,,7,,,
依,依,yī,phụ thuộc vào/tuân thủ hoặc lắng nghe ai đó/theo/dưới góc độ của,V/Prep,7,,,
意料,意料,yì liào,dự đoán; mong đợi/kỳ vọng,V,7,结果出乎我们的意料。,Jiéguǒ chūhū wǒmen de yìliào.,Kết quả ngoài dự đoán của chúng tôi.
意图,意圖,yì tú,ý định/ý định/có ý định,N,7,他的意图非常明确。,Tā de yìtú fēicháng míngquè.,Ý định của anh ấy rất rõ ràng.
异性,異性,yì xìng,người khác giới/khác giới/dị tính/khác biệt về bản chất,Adj/N,7,,,
异议,異議,yì yì,phản đối/bất đồng quan điểm,N,7,,,
一瞬间,一瞬間,yī shùn jiān,giây lát,N,7,,,
一一,一一,yī yī,từng cái một; cái này sau cái kia,Adv,7,,,
一早,一早,yī zǎo,vào sáng sớm/lúc bình minh,N,7,,,
一阵,一陣,yī zhèn,một sự bùng nổ/một cơn co giật/một tiếng reo/một phép thuật (khoảng thời gian),,7,,,
抑郁,抑鬱,yì yù,chán nản; buồn bã; u ám,Adj,7,,,
议员,議員,yì yuán,thành viên (của một cơ quan lập pháp)/đại diện,N,7,,,
抑制,抑制,yì zhì,ngăn chặn/kiềm chế/đàn áp,V,7,她努力抑制自己的情绪。,Tā nǔlì yìzhì zìjǐ de qíngxù.,Cô ấy cố gắng kiềm chế cảm xúc của mình.
瘾,癮,yǐn,nghiện/thèm muốn,N,7,,,
阴暗,陰暗,yīn àn,mờ/tối/mờ mịt/bóng tối/(hình) ảm đạm/u ám/tối tăm/tối tăm (bên),Adj,7,,,
引发,引發,yǐn fā,dẫn đến/kích hoạt/khởi xướng/gây ra/gợi lên (cảm xúc),V,7,,,
隐瞒,隱瞞,yǐn mán,che giấu/giấu giếm (một chủ đề cấm kỵ)/che đậy sự thật,V,7,他隐瞒了事实的真相。,Tā yǐnmánle shìshí de zhēnxiàng.,Anh ta đã che giấu sự thật.
引擎,引擎,yǐn qíng,engine (từ mượn)/CL:臺|台[tai2],N,7,汽车的引擎需要定期维护。,Qìchē de yǐnqíng xūyào dìngqí wéihù.,Động cơ xe hơi cần được bảo dưỡng định kỳ.
引人注目,引人注目,yǐn rén zhù mù,thu hút sự chú ý/bắt mắt/nổi bật,,7,,,
音响,音響,yīn xiǎng,âm thanh/âm thanh/âm thanh/hệ thống hi-fi/hệ thống âm thanh nổi/abbr. for 組合音響|组合音响[zu3 he2 yin1 xiang3],N,7,这个音响系统非常先进。,Zhège yīnxiǎng xìtǒng fēicháng xiānjìn.,Hệ thống âm thanh này rất tiên tiến.
隐形,隱形,yǐn xíng,vô hình,Adj,7,,,
阴性,陰性,yīn xìng,tiêu cực/nữ tính,N,7,,,
引用,引用,yǐn yòng,trích dẫn/trích dẫn/đề xuất/chỉ định/(tính toán) tham chiếu,V,7,他引用了一句名言。,Tā yǐnyòngle yī jù míngyán.,Anh ta trích dẫn một câu nói nổi tiếng.
引诱,引誘,yǐn yòu,ép buộc (ai đó làm điều gì đó xấu)/dụ (ai đó vào bẫy)/quyến rũ,V,7,,,
鹰,鷹,yīng,đại bàng/chim ưng/diều hâu,N,7,,,
婴儿,嬰兒,yīng ér,trẻ sơ sinh/bé/CL:個|个[ge4]/chì (Pb),N,7,她是一个可爱的婴儿。,Tā shì yīgè kě'ài de yīng'ér.,Cô ấy là một em bé dễ thương.
应付,應付,yìng fù,để đối phó với; để đương đầu,V,7,他总是很轻松地应付工作。,Tā zǒngshì hěn qīngsōng de yìngfù gōngzuò.,Anh ấy luôn đối phó với công việc một cách nhẹ nhàng.
硬币,硬幣,yìng bì,xu/CL:枚[mei2],N,7,,,
硬盘,硬盤,yìng pán,ổ cứng,N,7,,,
营救,營救,yíng jiù,để giải cứu,V,7,,,
影像,影像,yǐng xiàng,hình ảnh,N,7,,,
英镑,英鎊,yīng bàng,bảng Anh,N,7,,,
英俊,英俊,yīng jùn,đẹp trai,Adj,7,他长得非常英俊。,Tā zhǎng de fēicháng yīngjùn.,Anh ấy rất điển trai.
永不,永不,yǒng bù,không bao giờ/sẽ không bao giờ,,7,,,
用餐,用餐,yòng cān,ăn một bữa ăn,,7,,,
永恒,永恆,yǒng héng,vĩnh cửu/vĩnh cửu/hình. đi vào cõi vĩnh hằng (tức là chết),Adj,7,他们的爱是永恒的。,Tāmen de ài shì yǒnghéng de.,Tình yêu của họ là vĩnh cửu.
拥挤,擁擠,yōng jǐ,đông đúc/tụt rè/tắc nghẽn,V/Adj,7,早上地铁上非常拥挤。,Zǎoshang dìtiě shàng fēicháng yōngjǐ.,Sáng sớm trên tàu điện ngầm rất chật chội.
永久,永久,yǒng jiǔ,vĩnh cửu/vĩnh cửu/kéo dài/mãi mãi/vĩnh viễn,Adj,7,,,
用力,用力,yòng lì,để nỗ lực về mặt thể chất,,7,,,
诱惑,誘惑,yòu huò,dụ dỗ/lôi kéo/thu hút/thu hút,V/N,7,这个计划对他很有诱惑力。,Zhège jìhuà duì tā hěn yǒu yòuhuò lì.,Kế hoạch này rất hấp dẫn đối với anh ta.
有机,有機,yǒu jī,hữu cơ,Adj,7,,,
友情,友情,yǒu qíng,tình cảm thân thiện/tình bạn,N,7,,,
诱人,誘人,yòu rén,hấp dẫn; quyến rũ; lôi cuốn,Adj,7,,,
友善,友善,yǒu shàn,thân thiện,Adj,7,,,
有幸,有幸,yǒu xìng,may mắn thay,Adj,7,,,
幼稚,幼稚,yòu zhì,trẻ con/trẻ con/ngây thơ,Adj,7,他的想法太幼稚了。,Tā de xiǎngfǎ tài yòuzhì le.,Suy nghĩ của anh ấy quá non nớt.
有意,有意,yǒu yì,có ý định/cố ý/quan tâm đến,V/Adv,7,,,
有益,有益,yǒu yì,hữu ích/có lợi/có lãi,Adj,7,,,
优,優,yōu,xuất sắc/vượt trội,Adj,7,,,
有所,有所,yǒu suǒ,phần nào/ở một mức độ nào đó,V,7,,,
有助于,有助於,yǒu zhù yú,đóng góp vào; thúc đẩy,V,7,,,
优雅,優雅,yōu yǎ,duyên dáng/duyên dáng,Adj,7,,,
忧郁,憂鬱,yōu yù,buồn bã; chán nản; u sầu; chán nản,Adj,7,她看起来有些忧郁。,Tā kàn qǐlái yǒuxiē yōuyù.,Cô ấy trông có vẻ buồn rầu.
愚蠢,愚蠢,yú chǔn,ngớ ngẩn/ngu ngốc,Adj,7,他的行为非常愚蠢。,Tā de xíngwéi fēicháng yúchǔn.,Hành vi của anh ta rất ngu ngốc.
余地,餘地,yú dì,biên độ/khoảng trống,N,7,,,
预定,預定,yù dìng,để lên lịch trước,V,7,,,
预感,預感,yù gǎn,có linh cảm/linh cảm,V/N,7,,,
预告,預告,yù gào,dự báo/dự đoán/thông báo trước,V/N,7,,,
愈合,癒合,yù hé,(của một vết thương) để chữa lành,V,7,,,
预见,預見,yù jiàn,dự đoán/dự báo/hình dung/tầm nhìn xa/trực giác/tầm nhìn,V/N,7,,,
预料,預料,yù liào,dự đoán/dự đoán/kỳ vọng,V/N,7,他的表现出乎预料。,Tā de biǎoxiàn chūhū yùliào.,Hiệu suất của anh ấy ngoài dự đoán.
语气,語氣,yǔ qì,giọng điệu/cách nói/tâm trạng/CL:個|个[ge4],N,7,他的语气有点严肃。,Tā de yǔqì yǒudiǎn yánsù.,Giọng điệu của anh ấy có hơi nghiêm túc.
浴室,浴室,yù shì,phòng tắm (phòng dùng để tắm)/CL:間|间[jian1],N,7,,,
预算,預算,yù suàn,ngân sách,N,7,我们需要做一个预算。,Wǒmen xūyào zuò yīgè yùsuàn.,Chúng ta cần lập một ngân sách.
余,"余,餘",yú,thêm/thặng dư/còn lại/số dư sau khi chia/(giá trị số theo sau) hoặc nhiều hơn/vượt quá (một số nào đó)/số dư (toán học)/sau/tôi/tôi,V/Num,7,,,
欲望,慾望,yù wàng,ham muốn; khao khát; thèm ăn; thèm khát,N,7,他对生活充满了欲望。,Tā duì shēnghuó chōngmǎnle yùwàng.,Anh ấy đầy khát vọng về cuộc sống.
预先,預先,yù xiān,trước đó/trước,Adv,7,我们预先准备好了所有材料。,Wǒmen yùxiān zhǔnbèihǎole suǒyǒu cáiliào.,Chúng tôi đã chuẩn bị sẵn tất cả các tài liệu.
预言,預言,yù yán,dự đoán/tiên tri,V/N,7,预言家预测了未来的变化。,Yùyán jiā yùcèle wèilái de biànhuà.,Nhà tiên tri dự đoán những thay đổi trong tương lai.
与此同时,與此同時,yǔ cǐ tóng shí,cùng lúc; trong khi đó,,7,,,
与否,與否,yǔ fǒu,có hay không (ở cuối cụm từ),,7,,,
与众不同,與眾不同,yǔ zhòng bù tóng,nổi bật giữa đám đông (thành ngữ),,7,,,
宇宙,宇宙,yǔ zhòu,vũ trụ/vũ trụ,N,7,,,
原本,原本,yuán běn,ban đầu/bản gốc,Adv,7,,,
远程,遠程,yuǎn chéng,từ xa/khoảng cách xa/tầm xa,Adj,7,,,
原地,原地,yuán dì,(ở) nơi ban đầu/nơi hiện tại đang ở/nơi xuất xứ/địa phương (sản phẩm),N,7,,,
元首,元首,yuán shǒu,nguyên thủ quốc gia,N,7,国家的元首发表了重要讲话。,Guójiā de yuánshǒu fābiǎole zhòngyào jiǎnghuà.,Nguyên thủ quốc gia đã có bài phát biểu quan trọng.
源头,源頭,yuán tóu,nguồn/nguồn nước,N,7,,,
怨恨,怨恨,yuàn hèn,oán giận/nuôi dưỡng mối hận thù/ghét bỏ/bực tức/hận thù,V/N,7,,,
越过,越過,yuè guò,vượt qua/vượt qua/vượt qua khoảng cách/vượt qua/vươn lên trên,,7,,,
乐器,樂器,yuè qì,nhạc cụ/CL:件[jian4],N,7,她能演奏多种乐器。,Tā néng yǎnzòu duō zhǒng yuèqì.,Cô ấy có thể chơi nhiều loại nhạc cụ.
晕倒,暈倒,yūn dǎo,ngất xỉu/ngất xỉu/bất tỉnh/bất tỉnh,,7,,,
孕妇,孕婦,yùn fù,phụ nữ mang thai,N,7,,,
运送,運送,yùn sòng,vận chuyển/mang theo,V,7,,,
运转,運轉,yùn zhuàn,làm việc/vận hành/xoay vòng/quay vòng,V,7,,,
砸,砸,zá,đập vỡ/đập/thất bại/làm hỏng/làm hỏng,V,7,他把玻璃砸碎了。,Tā bǎ bōli zá suìle.,Anh ấy đập vỡ kính.
宰,宰,zǎi,"giết mổ; đồ tể; giết (động vật, v.v.)/(thu thập) lột da; giật; tính phí quá cao/(dạng ràng buộc) cai trị; cai trị/(dạng ràng buộc) (một danh hiệu dành cho một số quan chức chính phủ ở Trung Quốc cổ đại)",V,7,他要宰一只鸡。,Tā yào zǎi yī zhī jī.,Anh ấy muốn giết một con gà.
再度,再度,zài dù,một lần nữa; một lần nữa; một lần nữa,Adv,7,,,
在意,在意,zài yì,quan tâm đến/để ý đến,,7,她对这件事非常在意。,Tā duì zhè jiàn shì fēicháng zàiyì.,Cô ấy rất quan tâm đến việc này.
赞美,讚美,zàn měi,ngưỡng mộ/ca ngợi/tán dương,V,7,他常常赞美别人的工作。,Tā chángcháng zànměi biérén de gōngzuò.,Anh ấy thường khen ngợi công việc của người khác.
赞同,"讚同,贊同",zàn tóng,chấp thuận/ủng hộ/(bỏ phiếu) ủng hộ,V,7,我们赞同他的观点。,Wǒmen zàntóng tā de guāndiǎn.,Chúng tôi đồng ý với quan điểm của anh ấy.
葬礼,葬禮,zàng lǐ,chôn cất/tang lễ,N,7,,,
噪音,噪音,zào yīn,tiếng ầm ầm/tiếng ồn/tĩnh điện (trong tín hiệu),N,7,城市的噪音很大。,Chéngshì de zàoyīn hěn dà.,Tiếng ồn ở thành phố rất lớn.
则,則,zé,(văn học) (liên từ dùng để diễn tả sự tương phản với mệnh đề trước đó) nhưng; sau đó/(dạng ràng buộc) tiêu chuẩn; chuẩn mực/(dạng ràng buộc) nguyên tắc/(văn học) bắt chước; tuân theo/phân loại cho các mục đã viết,Conj,7,这个任务很难完成，他则不觉得。,"Zhège rènwù hěn nán wánchéng, tā zé bù juéde.","Nhiệm vụ này rất khó hoàn thành, nhưng anh ấy lại không nghĩ vậy."
则,則,zé,(văn học) (liên từ dùng để diễn tả sự tương phản với mệnh đề trước đó) nhưng; sau đó/(dạng ràng buộc) tiêu chuẩn; chuẩn mực/(dạng ràng buộc) nguyên tắc/(văn học) bắt chước; tuân theo/phân loại cho các mục đã viết,Conj,7,这个任务很难完成，他则不觉得。,"Zhège rènwù hěn nán wánchéng, tā zé bù juéde.","Nhiệm vụ này rất khó hoàn thành, nhưng anh ấy lại không nghĩ vậy."
责备,責備,zé bèi,đổ lỗi/chỉ trích/lên án/trách móc,V,7,她责备自己没有做好工作。,Tā zébèi zìjǐ méiyǒu zuò hǎo gōngzuò.,Cô ấy tự trách mình không hoàn thành công việc tốt.
责怪,責怪,zé guài,đổ lỗi/trách móc,V,7,他责怪我没有完成任务。,Tā zéguài wǒ méiyǒu wánchéng rènwù.,Anh ấy trách tôi không hoàn thành nhiệm vụ.
贼,賊,zéi,kẻ trộm/kẻ phản bội/xảo quyệt/lừa đảo/xấu xa/cực kỳ,N,7,小偷很狡猾。,Xiǎotōu hěn jiǎohuá.,Tên trộm rất xảo quyệt.
炸,炸,zhà,bùng nổ/nổ tung/nổ tung/(hình) nổi cơn thịnh nộ,V,7,,,
债务,債務,zhài wù,nợ/nợ phải trả/số tiền phải trả/khoản nợ,N,7,,,
粘,粘,zhān,dán/dán/dính/dính chặt vào,V,7,,,
沾,"沾,霑",zhān,biến thể của 沾[zhan1]/làm ẩm,V,7,,,
占用,佔用,zhàn yòng,chiếm đóng,V,7,,,
账单,賬單,zhàng dān,hóa đơn,N,7,,,
掌管,掌管,zhǎng guǎn,phụ trách/kiểm soát,V,7,,,
帐篷,帳篷,zhàng péng,"lều/CL:頂|顶[ding3],座[zuo4]",N,7,我们搭起了帐篷。,Wǒmen dā qǐle zhàngpéng.,Chúng tôi đã dựng lều.
长相,長相,zhǎng xiàng,ngoại hình/vẻ ngoài/khuôn mặt/khuôn mặt,N,7,,,
罩,罩,zhào,che phủ; trải ra/một tấm che; một bóng râm; một cái mũ trùm đầu/bẫy cá tre/chuồng gà tre/(Tw) (coll.) để bảo vệ; có ai đó ủng hộ/(Tw) (coll.) tuyệt vời; không thể tin được/(Tw) (coll.) (thường là 罩得住[zhao4 de2 zhu4]) kiểm soát mọi thứ; có thể xử lý được,V/N,7,,,
照办,照辦,zhào bàn,tuân theo các quy tắc/làm theo hướng dẫn/chơi theo sách/thực hiện theo yêu cầu,,7,,,
招待,招待,zhāo dài,tổ chức tiệc chiêu đãi; tiếp đãi; chiêu đãi (khách); phục vụ (khách hàng),V,7,我们将在晚会上招待客人。,Wǒmen jiāng zài wǎnhuì shàng zhāodài kèrén.,Chúng tôi sẽ tiếp đãi khách mời tại bữa tiệc tối.
