simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
诚实,誠實,chéngshí,ㄔㄥˊㄕˊ,thành thực,,thành thật; trung thực,真诚老实，不虚伪【真誠老實，不虛偽/僞】,他在工作中非常诚实。【他在工作中非常誠實。】,tā zài gōngzuò zhōng fēicháng chéngshí.,Anh ấy rất trung thực trong công việc.,Động từ (为人/说话/做事) (很/不) + 诚实,不诚实【不誠實】BẤT THÀNH THỰC; 诚实的【誠實的】THÀNH THỰC ĐÍCH; 诚实信用【誠實信用】THÀNH THỰC TÍN DỤNG; 虚伪【虛偽/僞】HƯ NGỤY; 说谎【説謊】THUYẾT HOANG,NGÔN 言Số nét: 8,8,丶フ一ノフフノ丶,
诚信,誠信,chéngxìn,ㄔㄥˊㄒㄧㄣˋ,thành tín,,trung thực; thành thật; uy tín; chính trực,诚实守信【誠實守信】,他的商业信誉非常诚信。【他的商業信譽非常誠信。】,tā de shāngyè xìnyù fēicháng chéngxìn.,Danh tiếng kinh doanh của anh ấy rất uy tín.,Chủ ngữ + Phó từ + 诚信,诚信危机【誠信危機】THÀNH TÍN NGUY CƠ; 失信THẤT TÍN; 假意GIẢ Ý; 诚实【誠實】THÀNH THỰC; 真诚【真誠】CHÂN THÀNH,NGÔN 言Số nét: 8,8,丶フ一ノフフノ丶,
程序,事情進行的先後順序；也指一定的工作步驟,chéngxù,ㄔㄥˊㄒㄩˋ,trình tự,,quy trình; trình tự; thủ tục; các bước; chương trình (tin học),（事情）进行的先后顺序；也指一定的工作步骤【事情進行的先後順序；也指一定的工作步驟】,所有程序都已顺利完成。【所有程序都已順利完成。】,suǒyǒu chéngxù dōu yǐ shùnlì wánchéng.,Tất cả các quy trình đã hoàn tất suôn sẻ.,Động từ (安排/设计/形成/公布) + 程序,程序员【程序員】TRÌNH TỰ VIÊN; 程序性TRÌNH TỰ TÍNH; 编程序【編程序】BIÊN TRÌNH TỰ; 程序编【程序編】TRÌNH TỰ BIÊN; 顺序【順序】THUẬN TỰ,HOÀ 禾Số nét: 12,12,ノ一丨ノ丶丨フ一一一丨一,
称赞,稱贊,chēngzàn,ㄔㄥㄗㄢˋ,xưng tán,,tán thưởng; hoan nghênh; khen ngợi,用言语表达对人或事物的优点的喜爱【用言語錶達對人或事物的優點的喜愛】,老师称赞了他的努力。【老師稱贊了他的努力。】,lǎoshī chēngzànle tā de nǔlì.,Giáo viên đã khen ngợi sự nỗ lực của anh ấy.,A + 称赞 + B,值得称赞【值得稱贊】TRỊ.TRỰC ĐẮC XƯNG TÁN; 啧啧称赞【嘖嘖稱贊】TRÁCH TRÁCH XƯNG TÁN; 交口称赞【交口稱贊】GIAO KHẨU XƯNG TÁN; 满口称赞【滿口稱贊】MÃN KHẨU XƯNG TÁN; 批评【批評】PHÊ BÌNH,HOÀ 禾Số nét: 10,10,ノ一丨ノ丶ノフ丨ノ丶,
承认,承認,chéngrèn,ㄔㄥˊㄖㄣˋ,thừa nhận,,"thừa nhận; chấp nhận; đồng ý; thú nhận; chấp thuận; công nhận (quốc gia mới, chính quyền mới)",表示肯定，同意，认可【錶示肯定，衕意，認可】,他硬是不承认自己的错误。【他硬是不承認自己的錯誤。】,tā yìngshì bù chéngrèn zìjǐ de cuòwù.,Anh ta vẫn không có thừa nhận sai lầm của bản thân.,坦白/主动/老实... (地) + 承认,承认控罪【承認控罪】THỪA NHẬN KHỐNG TỘI; 隐瞒【隱瞞】ẨN MAN; 否认【否認】PHỦ NHẬN; 抵赖【抵賴】ĐỂ LẠI; 狡赖【狡賴】GIẢO LẠI,THỦ 手Số nét: 8,8,フ丨一一一フノ丶,
承受,接受併負擔很重的東西；接受生活、工作、經濟上的痛苦、壓力等,chéngshòu,ㄔㄥˊㄕㄡˋ,thừa thụ,,chịu đựng; chấp nhận; kế thừa; thừa kế; thừa hưởng,接受并负担很重的东西；接受生活、工作、经济上的痛苦、压力等【接受併負擔很重的東西；接受生活、工作、經濟上的痛苦、壓力等】,我们要承受巨大的压力。【我們要承受鉅大的壓力。】,wǒmen yào chéngshòu jùdà de yālì.,Chúng ta phải chịu áp lực rất lớn.,承受 + Tân ngữ (重量/压力/痛苦...),承受力THỪA THỤ LỰC; 承受额【承受額】THỪA THỤ NGẠCH; 推卸THÔI TÁ; 施加THI.THÍ GIA; 推却【推卻】THÔI KHƯỚC,THỦ 手Số nét: 8,8,フ丨一一一フノ丶,
尺,長度單位十寸等於一尺，十尺等於一丈現用市尺，一市尺閤米,chǐ,ㄔˇ,xích,,"thước; đơn vị thước (đơn vị đo chiều dài, bằng 1/3mét); thước đo; thước vẽ; vật thể giống cái thước; mạch trụ (một trong những bộ phận dùng để bắt mạch)",长度单位十寸等于一尺，十尺等于一丈现用市尺，一市尺合1/3米【長度單位十寸等於一尺，十尺等於一丈現用市尺，一市尺閤米】,这根绳子五尺长。【這根繩子五尺長。】,zhè gēn shéngzi wǔ chǐ cháng.,Sợi dây này dài năm thước.,,尺寸XÍCH THỐN; 尺子XÍCH TỬ; 尺码【尺碼】XÍCH MÃ; 尺度XÍCH ĐỘ,THI 尸Số nét: 4,4,フ一ノ丶,
尺寸,比喻麵積較小,chǐcùn,ㄔˇㄘㄨㄣˋ,xích thốn,,size; kích cỡ; kích thước; to nhỏ; số đo,比喻面积较小【比喻麵積較小】,这个盒子的尺寸刚好合适。【這個盒子的尺寸剛好閤適。】,zhège hézi de chǐcùn gānghǎo héshì.,Kích thước của chiếc hộp này vừa vặn.,,量尺寸LƯỢNG XÍCH THỐN; 尺寸过大【尺寸過大】XÍCH THỐN QUÁ ĐẠI; 尺寸不良XÍCH THỐN BẤT LƯƠNG; 实际尺寸【實際尺寸】THỰC TẾ XÍCH THỐN; 多少ĐA THIỂU,THI 尸Số nét: 4,4,フ一ノ丶,
迟到,遲到,chídào,ㄔˊㄉㄠˋ,trì đáo,,trễ; muộn; đến trễ; trễ giờ; đến muộn; chậm bước; chậm chân,到得比规定的时间晚【到得比規定的時間晚】,这学期你已经迟到三次了。【這學期你已經遲到三次了。】,zhè xuéqī nǐ yǐjīng chídào sāncì le,Bạn đi trễ ba lần trong học kỳ này.,迟到 + Thời gian/Số lần,延迟到中【延遲到中】DIÊN TRÌ ĐÁO TRUNG; 早退TẢO THỐI.THOÁI; 晚到VÃN ĐÁO,SƯỚC 辵Số nét: 7,7,フ一ノ丶丶フ丶,
吃惊,吃/喫驚,chījīng,ㄔㄐㄧㄥ,ngật kinh,,giật mình; hết hồn; hú hồn; sợ hãi; hoảng hốt; sửng sốt; ngạc nhiên; bất ngờ; không ngờ; ngỡ ngàng,意外地受到惊吓【意外地受到驚嚇】,我听到这个消息很吃惊。【我聽到這個消息很吃/喫驚。】,wǒ tīng dào zhège xiāoxi hěn chījīng.,Tôi rất ngạc nhiên khi nghe tin này.,A + 叫/ 令/ 使 + B + 吃惊,令人吃惊【令人吃/喫驚】LỆNH NHÂN CẬT.NGẬT KINH; 太吃惊了【太吃/喫驚了】THÁI CẬT.NGẬT KINH LIỄU; 冷静【冷靜】LÃNH TĨNH; 惊讶【驚訝】KINH NHẠ; 诧异【詫異】SÁ DỊ,KHẨU 口Số nét: 6,6,丨フ一ノ一フ,
尺子,導引鋼筆或鉛筆畫線條或量尺寸的木尺或金屬尺,chǐzi,ㄔˇㄗ˙,xích tử,,thước; thước đo; cái thước; thước kẻ,导引钢笔或铅笔画线条或量尺寸的木尺或金属尺【導引鋼筆或鉛筆畫線條或量尺寸的木尺或金屬尺】,他用尺子划线。【他用尺子劃線。】,tā yòng chǐzi huá xiàn.,Anh ta vẽ đường bằng thước kẻ.,,,THI 尸Số nét: 4,4,フ一ノ丶,
冲,衝,chōng,ㄔㄨㄥ,xung,,lao vào; tấn công; xông lên; xông vào; đập; va đập; chống đối; bẻ gẫy; xung hỉ; làm việc hỉ (để trừ tà khí); pha; hòa; dội nước; xối nước; tạt nước; rửa; tưới (nước sôi lên); rửa ảnh (từ phim); bù cho nhau; triệt tiêu lẫn nhau; phố; đường lớn; đường phố lớn; nơi trọng yếu; trọng điểm; bình nguyên; bãi; thung lũng; đất bằng ở sau núi,很快地向前直闯，突破障碍【很快地嚮前直闖，突破障礙】,他向前猛冲。【他嚮前猛衝。】,tā xiàng qián měng chōng.,Anh ấy mạnh mẽ xông về phía trước.,冲 + Tân ngữ（手、脚、盘子、水）,冲动【衝動】XUNG ĐỘNG; 冲击【衝擊】XUNG KÍCH; 冲突【衝突】XUNG ĐỘT; 冲浪【衝浪】XUNG LÃNG; 冲动【衝動】XUNG ĐỘNG,BĂNG 冫Số nét: 6,6,丶一丨フ一丨,
充电,充電,chōngdiàn,ㄔㄨㄥㄉㄧㄢˋ,sung điện,,nạp điện; sạc điện; sạc pin; nâng cao; cập nhật; học hỏi,把直流电源接到蓄电池的两极上使蓄电池获得放电能力【把直流電源接到蓄電池的兩極上使蓄電池穫得放電能力】,你的充电宝多少钱？【你的充電寶多少錢】,Nǐ de chōngdiàn bǎo duōshao qián?,Sạc dự phòng của bạn bao nhiêu tiền?,,充电器【充電器】SUNG ĐIỆN KHÍ; 充电宝【充電寶】SUNG ĐIỆN BẢO; 充电机【充電機】SUNG ĐIỆN CƠ; 充电条【充電條】SUNG ĐIỆN ĐIỀU; 物理VẬT LÍ,NHÂN 儿Số nét: 6,6,丶一フ丶ノフ,
充电器,充電器,chōngdiàn qì,ㄔㄨㄥㄉㄧㄢˋㄑㄧˋ,sung điện khí,,củ sạc; cục sạc,一种用于通过强制电流通过它来将能量输入蓄电池的装置【一種用於通過強製電流通過它來將能量輸入蓄電池的裝置】,这是一个手机充电器。【這是一個手機充電器。】,zhè shì yīgè shǒujī chōngdiàn qì.,Đây là cục sạc của điện thoại.,,,NHÂN 儿Số nét: 6,6,丶一フ丶ノフ,
充分,足夠(多用於抽象事物),chōngfèn,ㄔㄨㄥㄈㄣ,sung phận,,đầy đủ (thường dùng cho sự vật trừu tượng); hết mức,足够 (多用于抽象事物)【足夠(多用於抽象事物)】,你的理由不充分。,nǐ de lǐyóu bù chōngfēn.,Lí do của anh không đầy đủ.,充分 + Động từ,充分就业【充分就業】SUNG PHÂN TỰU NGHIỆP; 充分考虑【充分考慮】SUNG PHÂN KHẢO LỰ; 缺乏KHUYẾT PHẠP; 不足BẤT TÚC; 充满【充滿】SUNG MÃN,NHÂN 儿Số nét: 6,6,丶一フ丶ノフ,
虫子,蟲子,chóngzi,ㄔㄨㄥˊㄗ˙,trùng tử,,sâu; bọ; giun; côn trùng; con nhộng,昆虫和类似昆虫的小动物【崑蟲和類似崑蟲的小動物】,这个苹果生满了虫子。【這個蘋果生滿了蟲子。】,zhège píngguǒ shēng mǎnle chóngzi.,Quả táo này toàn là sâu.,Động từ + 虫子,虫子牙【蟲子牙】TRÙNG TỬ NHA; 这种虫子【這種蟲子】GIÁ CHỦNG TRÙNG TỬ; 虫豸【蟲豸】TRÙNG TRĨ,TRÙNG 虫Số nét: 6,6,丨フ一丨一丶,
抽,把夾在中間的東西取齣,chōu,ㄔㄡ,trừu,,rút; rút ra; lấy ra; chiết xuất; dẫn ra; dành; bớt; cử; lấy ra; tách ra; đưa ra; tháo ra; chọn ra (một phần); trổ; nảy; đâm ra; mọc ra; hút; bơm; co; rút; ngắn lại; co vào; rút vào; nhỏ đi; quất; đánh; vụt,把夹在中间的东西取出【把夾在中間的東西取齣】,从信封里抽出信纸。【從信封裡/裏抽齣信紙。】,cóng xìnfēng li chōuchū xìnzhǐ.,Rút thư từ trong phong bì ra.,把 + Tân ngữ + 抽出来,抽烟【抽煙】TRỪU YÊN; 抽屉【抽屜】TRỪU THẾ; 抽象TRỪU TƯỢNG; 抽空TRỪU KHÔNG,THỦ 手Số nét: 8,8,一丨一丨フ一丨一,
抽奖,抽獎,chōujiǎng,ㄔㄡㄐㄧㄤˇ,trừu tưởng,,bốc thăm; rút thăm,以抽签法决定中奖者。【以抽籤法決定中獎者。】,你参加了抽奖吗？【你參加了抽獎嗎】,nǐ cānjiāle chōujiǎng ma?,Bạn đã tham gia rút thăm chưa?,,幸运抽奖【倖運抽獎】HẠNH VẬN TRỪU TƯỞNG; 抽奖活动【抽獎活動】TRỪU TƯỞNG HOẠT ĐỘNG; 慈善抽奖【慈善抽獎】TỪ THIỆN TRỪU TƯỞNG; 不用BẤT DỤNG; 摸奖【摸獎】MÔ TƯỞNG,THỦ 手Số nét: 8,8,一丨一丨フ一丨一,
抽烟,抽煙,chōuyān,ㄔㄡㄧㄢ,trừu yên,,hút thuốc,吸纸烟或水管烟【吸紙煙或水管煙】,抽烟是个不好的习惯。【抽煙是個不好的習慣。】,chōuyān shìgè bù hǎo de xíguàn.,Hút thuốc là một thói quen xấu.,Động từ (请勿/禁止/不许...) + 抽烟,抽烟管【抽煙管】TRỪU YÊN QUẢN; 戒烟【戒煙】GIỚI YÊN; 吸烟【吸煙】HẤP YÊN,THỦ 手Số nét: 8,8,一丨一丨フ一丨一,
处,處,chǔ,ㄔㄨˋ,xử,,ở; ở nhà; sống; ăn ở; ứng xử; cư xử; để; đặt; ở vào; ở trong; xử trí; xử lí; giải quyết; xử phạt; trừng phạt; trừng trị,居住,古代人曾经穴居野处。【古代人曾經穴居野處。】,gǔdài rén céngjīng xuéjū yě chǔ.,Người cổ đại từng ăn lông ở lỗ.,,处理【處理】XỨ LÍ; 相处【相處】TƯƠNG XỨ; 处于【處於】XỨ VU; 处境【處境】XỨ CẢNH,TRI 夂Số nét: 5,5,ノフ丶丨丶,
出色,齣色,chūsè,ㄔㄨㄙㄜˋ,xuất sắc,,xuất sắc; nổi bật; xuất chúng,格外好;超出一般的【格外好;超齣一般的】,他们出色地完成了任务。【他們齣色地完成了任務。】,tāmen chūsè de wánchéng le rènwù.,Họ đã hoàn thành xuất sắc nhiệm vụ.,Động từ + 得 + 很/非常 + 出色,极为出色【極為齣色】CỰC VI XUẤT SẮC; 当行出色【當行齣色】ĐƯƠNG HÀNH XUẤT SẮC; 一般NHẤT BAN; 平凡BÌNH PHÀM; 平庸BÌNH DUNG,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
出售,齣售,chūshòu,ㄔㄨㄕㄡˋ,xuất thụ,,bán; bán ra,卖（商品）【賣商品】,他们计划出售一些旧设备。【他們計劃齣售一些舊設備。】,tāmen jìhuà chūshòu yīxiē jiù shèbèi.,Họ dự định bán một số thiết bị cũ.,,亏本出售【虧本齣售】KHUY BẢN XUẤT THỤ; 恕不出售【恕不齣售】THỨ BẤT XUẤT THỤ; 购买【購買】CẤU MÃI; 进货【進貨】TIẾN HÓA; 收购【收購】THU CẤU,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
出席,齣席,chūxí,ㄔㄨㄒㄧˊ,xuất tịch,,dự họp; tham dự; có mặt; đến dự,有发言权和表决权的成员 (有时也泛指一般人) 参加会议; 加入某种组织或某种活动【有髮/發言權和錶決權的成員(有時也氾指一般人)參加會議;加入某種組織或某種活動】,90%的股东出席了会议。【的股東齣席了會議。】,90%de gǔdōng chūxíle huìyì.,90% cổ đông tham dự hội nghị.,出席 + Danh từ (会议/ 活动/ 典礼/ 宴会),出席者【齣席者】XUẤT TỊCH GIẢ; 出席此次【齣席此次】XUẤT TỊCH THỬ THỨ; 出席会议【齣席會議】XUẤT TỊCH HỘI NGHỊ; 缺席KHUYẾT TỊCH; 旷工【曠工】KHOÁNG CÔNG,KHẢM 凵Số nét: 5,5,フ丨丨フ丨,
处于,處於,chǔyú,ㄔㄨˋㄩˊ,xử vu,,trong; thuộc; ở vào; nằm ở; rơi vào; ở thế,在某种地位或状态; 位置处在 (某处)【在某種地位或狀態;位置處在(某處)】,伤员处于昏迷状态。【傷員處於昏迷狀態。】,shāngyuán chǔyú hūnmí zhuàngtài.,Người bị thương rơi vào trạng thái hôn mê.,A + 在/ 正在 + 处于 + ...+ 中,处于下风【處於下風】XỨ VU HẠ PHONG; 处于劣势【處於劣勢】XỨ VU LIỆT THẾ; 位于【位於】VỊ VU; 动感【動感】ĐỘNG CẢM; 居于【居於】CƯ VU,TRI 夂Số nét: 5,5,ノフ丶丨丶,
穿上,指將衣物穿在身上,chuān shàng,ㄔㄨㄢㄕㄤˋ,xuyên thượng,,mặc; mang; mặc vào,指将衣物穿在身上【指將衣物穿在身上】,天冷了，记得穿上厚衣服。【天冷了，記得穿上厚衣服。】,"tiān lěngle, jìdé chuān shàng hòu yīfu.","Trời lạnh rồi, nhớ mặc áo dày vào nhé.",A + 把 + B + 穿上,穿上衣服XUYÊN THƯỢNG Y PHỤC,HUYỆT 穴Số nét: 9,9,丶丶フノ丶一フ丨ノ,
传统,傳統,chuántǒng,ㄔㄨㄢˊㄊㄨㄥˇ,truyền thống,,truyền thống; phong tục; tục lệ; phong tục được lưu truyền; lâu đời; tính truyền thống; bảo thủ; cổ hủ; lạc hậu,世代相传、具有特点的社会因素，如风俗、道德、思想、作风、艺术、制度等【世代相傳、具有特點的社會因素，如風俗、道德、思想、作風、藝術、製度等】,我们要保护传统文化。【我們要保護傳統文化。】,wǒmen yào bǎohù chuántǒng wénhuà.,Chúng ta cần bảo vệ văn hóa truyền thống.,Động từ (发扬、尊重、形成、成为、继承) + 传统,传统服装【傳統服裝】TRUYỀN THỐNG PHỤC TRANG; 传统节日【傳統節日】TRUYỀN THỐNG TIẾT NHẬT; 传统医药【傳統醫藥】TRUYỀN THỐNG Y DƯỢC; 传统文化【傳統文化】TRUYỀN THỐNG VĂN HÓA; 时尚【時尚】THÌ THƯỢNG,NHÂN 人Số nét: 6,6,ノ丨一一フ丶,
窗户,窗戶,chuānghu,ㄔㄨㄤㄏㄨˋ,song hộ,,cửa sổ,墙壁上通气透光的装置【墻壁上通氣透光的裝置】,窗户关得紧，打不开。【窗戶關得緊，打不開。】,"chuānghu guān de jǐn, dǎbùkāi.","Cửa sổ đóng chặt quá, mở không ra.",打开，关闭，修理，清洁 + 窗户,窗帘【窗簾】SONG LIÊM; 阳台【陽檯】DƯƠNG ĐÀI; 窗口SONG KHẨU; 墙壁【墻壁】TƯỜNG BÍCH,HUYỆT 穴Số nét: 12,12,丶丶フノ丶ノ丨フノフ丶一,
窗子,窗戶,chuāngzi,ㄔㄨㄤㄗ˙,song tử,,cửa sổ,窗户【窗戶】,我喜欢坐在窗子旁边看书。【我喜歡坐在窗子旁邊看書。】,wǒ xǐhuan zuò zài chuāngzi pángbiān kànshū.,Tôi thích ngồi bên cửa sổ đọc sách.,,窗户【窗戶】SONG HỘ; 橱窗【櫥窗】TRÙ SONG; 窗棂【窗欞】SONG LINH; 窗扉SONG PHI,HUYỆT 穴Số nét: 12,12,丶丶フノ丶ノ丨フノフ丶一,
窗台,窗檯,chuāngtái,ㄔㄨㄤㄊㄞˊ,song đài,,bệ cửa sổ; bậu cửa sổ,(窗台儿) 托着窗框的平面部分【(窗檯兒)託著窗框的平麵部分】,窗台上放着一些花盆。【窗檯上放著一些花盆。】,chuāngtái shàng fàngzhe yīxiē huā pén.,Trên bệ cửa sổ có vài chậu hoa.,,窗台儿【窗檯兒】SONG ĐÀI NHI; 窗台花箱【窗檯花箱】SONG ĐÀI HOA SƯƠNG.TƯƠNG; 窗户【窗戶】SONG HỘ,HUYỆT 穴Số nét: 12,12,丶丶フノ丶ノ丨フノフ丶一,
纯,純,chún,ㄔㄨㄣˊ,thuần,,tinh khiết; thanh khiết; trong lành; trong trẻo; tuyền; ròng; nguyên chất; thuần thục; thành thạo; có kinh nghiệm; đều,纯净;不含杂质【純凈;不含雜質】,他是一个单纯的孩子。【他是一個單純的孩子。】,tā shì yīgè dānchún de háizi.,Cậu ấy là một đứa trẻ ngây thơ.,,单纯【單純】ĐƠN THUẦN; 纯粹【純粹】THUẦN TUÝ; 纯洁【純潔】THUẦN KHIẾT; 纯净【純凈】THUẦN TỊNH; 杂【雜】TẠP,MỊCH 糸Số nét: 7,7,フフ一一フ丨フ,
春季,一年的第一季，中國習慣指立春到立夏的三個月時間，也指農曆'正、二、三、'三個月,chūnjì,ㄔㄨㄣㄐㄧˋ,xuân quý,,mùa xuân; xuân kỳ; thời kỳ mùa xuân,一年的第一季，中国习惯指立春到立夏的三个月时间，也指农历'正、二、三、'三个月【一年的第一季，中國習慣指立春到立夏的三個月時間，也指農曆'正、二、三、'三個月】,春季的天气很温暖。【春季的天氣很溫暖。】,chūnjì de tiānqì hěn wēnnuǎn.,Thời tiết mùa xuân rất ấm áp.,,秋季【鞦季】THU QUÝ,NHẬT 日Số nét: 9,9,一一一ノ丶丨フ一一,
纯净水,純凈水,chúnjìng shuǐ,ㄔㄨㄣˊㄐㄧㄥˋㄕㄨㄟˇ,thuần tịnh thủy,,nước tinh khiết,矿泉水【礦泉水】,我每天都喝纯净水。【我每天都喝純凈水。】,wǒ měitiān dōu hē chúnjìng shuǐ.,Tôi uống nước tinh khiết mỗi ngày.,,,MỊCH 糸Số nét: 7,7,フフ一一フ丨フ,
此,錶示近指的代詞跟''彼''相對);這;這個,cǐ,ㄘˇ,thử,,này; cái này; đến đây; bây giờ; chỗ này; lúc này; tại đây,表示近指的代词 (跟''彼''相对);这;这个【錶示近指的代詞跟''彼''相對);這;這個】,此人很有才华。【此人很有才/纔華。】,cǐ rén hěn yǒu cáihuá.,Người này rất có tài hoa.,此 + Danh từ( 人/ 时/ 事 ）,因此NHÂN THỬ; 彼此BỈ THỬ; 如此NHƯ THỬ; 此外THỬ NGOẠI; 彼BỈ,CHỈ 止Số nét: 6,6,丨一丨一ノフ,
刺,尖的東西進入或穿過物體,cì,ㄘˋ,thứ | thích,,đâm; chọc; chích; khoét; xỏ; xuyên; xăm; chói; kích thích; kích động; khuyến khích; khuấy động; ám sát; hành thích; giết lén; trinh sát; dò thám; hỏi thăm; châm biếm; chế nhạo; danh thiếp; tấm thiếp nhỏ; giằm; gai; xương; phần nhô ra; họ Thứ,尖的东西进入或穿过物体【尖的東西進入或穿過物體】,尖竹刺穿了旧轮胎。【尖竹刺穿了舊輪胎。】,jiān zhú cì chuānle jiù lúntāi.,Cây tre nhọn xuyên qua lốp xe cũ.,Số lượng + 根 + 刺,刺激THỨ.THÍCH KÍCH; 讽刺【諷刺】PHÚNG THỨ.THÍCH; 刺绣【刺繡】THỨ.THÍCH TÚ; 刺眼THỨ.THÍCH NHÃN,ĐAO 刀Số nét: 8,8,一丨フ丨ノ丶丨丨,
词汇,詞匯,cíhuì,ㄘˊㄏㄨㄟˋ,từ hối,,từ ngữ; từ vựng,语言里使用的词的总称【語言裡/裏使用的詞的總稱】,阅读会增加你的词汇量。【閱讀會增加你的詞匯量。】,yuèdú huì zēngjiā nǐ de cíhuìliàng.,Đọc sách sẽ tăng vốn từ vựng của bạn.,（汉语/ 基础/ 专业/ 常用）+词汇,词汇学【詞匯學】TỪ HỐI HỌC; 基本词汇【基本詞匯】CƠ BẢN TỪ HỐI; 词汇分解【詞匯分解】TỪ HỐI PHÂN GIẢI; 词汇判断【詞匯判斷】TỪ HỐI PHÁN ĐOẠN.ĐOÁN,NGÔN 言Số nét: 7,7,丶フフ一丨フ一,
刺激,"人的情緒。精神狀態或者感覺器官受到外麵的影響,産生某些強烈的變化或者反應。",cìjī,ㄘˋㄐㄧ,thích kích,,"kích thích; kích động; khuấy động; hoạt hoá; thúc giục (hoạt động, biến đổi của vật thể); thúc đẩy (biến đổi một cách tích cực); sự kích thích; sự kích động; sự thúc đẩy; thú vị; kích thích; phấn khích; hào hứng","人的情绪。精神状态或者感觉器官受到外面的影响, 产生某些强烈的变化或者反应。【人的情緒。精神狀態或者感覺器官受到外麵的影響,産生某些強烈的變化或者反應。】",这个消息很刺激他。【這個消息很刺激他。】,zhège xiāoxi hěn cìjī tā.,Tin tức này rất kích thích anh ấy.,别/不要/深深/强烈 (+地) + 刺激,刺激性THỨ.THÍCH KÍCH TÍNH; 刺激素THỨ.THÍCH KÍCH TỐ; 刺激剂【刺激劑】THỨ.THÍCH KÍCH TỄ; 刺激物THỨ.THÍCH KÍCH VẬT; 安慰AN UÝ,ĐAO 刀Số nét: 8,8,一丨フ丨ノ丶丨丨,
此外,指除了上麵所説的事物或情況之外的,cǐwài,ㄘˇㄨㄞˋ,thử ngoại,,ngoài ra; bên cạnh đó; hơn nữa; vả lại; vả chăng; mặt khác,指除了上面所说的事物或情况之外的【指除了上麵所説的事物或情況之外的】,我喜欢足球，此外还喜欢篮球。【我喜歡足球，此外還喜歡籃球。】,"wǒ xǐhuan zúqiú, cǐwài, hái xǐhuan lánqiú.","Tôi thích bóng đá, ngoài ra còn thích bóng rổ.","Mệnh đề 1, 此外 + 还/ 也 +...",另外LÁNH NGOẠI; 别的【別的】BIỆT ĐÍCH; 其余【其餘】KỲ DƯ; 其它KỲ XÀ.THA,CHỈ 止Số nét: 6,6,丨一丨一ノフ,
从此,從此,cóngcǐ,ㄘㄨㄥˊㄘˇ,tòng thử,,từ đó; từ đây; từ rày,从这个时候起【從這個時候起】,从此，我不再迟到。【從此，我不再遲到。】,"cóngcǐ, wǒ bù zài chídào.","Từ đó, tôi không còn đến muộn nữa.","Mệnh đề, 从此 + 以后/往后 + Mệnh đề",从此以后【從此以後】TÒNG THỬ DĨ HẬU; 从此往后【從此往後】TÒNG THỬ VÃNG HẬU,NHÂN 人Số nét: 4,4,ノ丶ノ丶,
粗,毛糙；不精緻,cū,ㄘㄨ,thô,,thô; thô ráp; thô tục; chưa tinh tế; bất lịch sự; ồ ồ; ồm ồm; khàn khàn (giọng nói); rộng; dày; to (đường kính lớn); thô; thô sơ; sơ qua; sơ sài (không tỉ mỉ); dày; rậm; thô (không mịn); bất cẩn; vụng về; biết chút ít; sơ sơ; sơ lược (biết một chút); gạo lứt; ngũ cốc,毛糙；不精致【毛糙；不精緻】,这条绳子很粗。【這條繩子很粗。】,zhè tiáo shéngzi hěn cū.,Sợi dây này rất thô.,A + Phó từ + 粗,粗心THÔ TÂM; 粗糙THÔ THÁO; 粗鲁【粗魯】THÔ LỖ; 粗暴THÔ BẠO; 细【細】TẾ,MỄ 米Số nét: 11,11,丶ノ一丨ノ丶丨フ一一一,
促进,促進,cùjìn,ㄘㄨˋㄐㄧㄣˋ,xúc tiến,,xúc tiến; đẩy mạnh; thúc mau; giục gấp; thúc đẩy phát triển,促使发展【促使髮/發展】,这项政策促进了经济增长。【這項政策促進了經濟增長。】,zhè xiàng zhèngcè cùjìnle jīngjì zēngzhǎng.,Chính sách này đã thúc đẩy tăng trưởng kinh tế.,"促进+ Tân ngữ (...的发展／...的了解／...的交流,...)",促进剂【促進劑】XÚC TIẾN TỄ; 遏制【遏製】ÁT CHẾ; 后退【後退】HẬU THỐI.THOÁI; 促退XÚC THỐI.THOÁI; 鼓励【鼓勵】CỔ LỆ,NHÂN 人Số nét: 9,9,ノ丨丨フ一丨一ノ丶,
促使,推動使某人或者某事物齣現某變化,cùshǐ,ㄘㄨˋㄕˇ,xúc sử,,thúc đẩy; đẩy mạnh; khiến cho,推动使某人或者某事物出现某变化【推動使某人或者某事物齣現某變化】,我们需要促使创新。【我們需要促使創新。】,wǒmen xūyào cùshǐ chuàngxīn.,Chúng ta cần thúc đẩy sự đổi mới.,A + 促使 + B + Động từ,阻碍【阻礙】TRỞ NGẠI; 抑制【抑製】ỨC CHẾ; 阻挠【阻撓】TRỞ NẠO; 促进【促進】XÚC TIẾN; 推动【推動】THÔI ĐỘNG,NHÂN 人Số nét: 9,9,ノ丨丨フ一丨一ノ丶,
